date,total,domestic,foreign,death
2022-07-16,"41,302","41,024",278,16
2022-07-17,"40,323","40,024",299,14
2022-07-18,"26,278","25,960",318,11
2022-07-19,"73,549","73,199",350,12
2022-07-20,"76,371","75,944",427,12
2022-07-21,"71,140","70,823",317,17
2022-07-22,"68,594","68,275",319,31
2022-07-23,"68,531","68,235",296,30
2022-07-24,"65,372","65,058",314,18
2022-07-25,"35,858","35,517",341,17
2022-07-26,"99,246","98,891",355,17
2022-07-27,"100,240","99,706",534,25
2022-07-28,"88,356","87,936",420,25
2022-07-29,"85,289","84,856",433,35
2022-07-30,"81,976","81,582",394,35
2022-07-31,"73,559","73,213",346,20
2022-08-01,"44,654","44,211",443,21
2022-08-02,"111,755","111,190",565,16
2022-08-03,"119,884","119,292",592,26
2022-08-04,"107,857","107,429",428,34
2022-08-05,"112,856","112,365",491,47
2022-08-06,"110,632","110,061",571,45
2022-08-07,"105,468","104,988",480,27
2022-08-08,"55,262","54,782",480,29
2022-08-09,"149,866","149,282",584,40
2022-08-10,"151,748","151,141",607,50
2022-08-11,"137,204","136,691",513,59
2022-08-12,"128,714","128,250",464,58
2022-08-13,"124,592","124,112",480,67
2022-08-14,"119,603","119,143",460,57
2022-08-15,"62,078","61,682",396,50
2022-08-16,"84,128","83,665",463,37
